"id","title","time","director","year","star","cost"
3547,"Susie's Hope    ","1 hour, 45 minutes","Jerry Rees",2014,"Emmanuelle Vaugier, Burgess Jenkins","Rent HD $3.99,Rent SD $2.99,Buy HD $10.99,Buy SD $9.99,"
3548,"Chocolat    ","2 hours, 2 minutes","Lasse Hallström",2001,"Alfred Molina, Carrie-Anne Moss","Rent HD $3.99,Rent SD $2.99,Buy HD $13.99,Buy SD $12.99,"
3549,"The Girl Who Played With Fire: Extended Edition (English Subtitled)    ","3 hours, 7 minutes","Daniel Alfredson",2011,"Noomi Rapace, Michael Nyqvist","Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
3550,"Monsters    ","1 hour, 34 minutes","Gareth Edwards",2010,"Scoot McNairy, Whitney Able","Rent HD $3.99,Rent SD $2.99,Buy HD $4.99,Buy SD $4.99,"
3551,"The Cake Eaters    ","1 hour, 26 minutes","Mary Stuart Masterson",2007,"Elizabeth Ashley, Jayce Bartok","Rent SD $2.00,Buy HD $14.99,Buy SD $4.99,"
3552,"Runoff    ","1 hour, 30 minutes","Kimberly Levin",2015,"Joanne Kelly,Neal Huff","Rent HD $4.99,Rent SD $3.99,Buy HD $12.99,Buy SD $9.99,"
3553,"The Second Best Exotic Marigold Hotel "," 123 minutes ",,07/14/15,"David Strathairn",$19.99
3554,"The Case of Unfaithful Klara    ","1 hour, 29 minutes","Roberto Faenza",2009,"Claudio Santamaria, Iain Glen","Buy SD $9.99,"
3555,"House on Haunted Hill    ","1 hour, 15 minutes","William Castle",1959,"Vincent Price, Carol Ohmart","Buy SD $9.99,"
3556,"The Imitation Game "," 113 minutes ",,03/31/15,"Benedict Cumberbatch",$9.96
3557,"Fetish    ","1 hour, 28 minutes","Soopum Sohn",2010,"Hye-kyo Song, Arno Frisch","Buy SD $6.99,"
3558,"Fifty Shades of Grey "," 126 minutes ","Sam Taylor-Johnson",05/08/15,"Dakota Johnson",$11.00
3559,"Everest 3D [Blu-ray] ",,"Baltasar Kormakur",,"Josh Brolin",$29.87
3560,"True Story    ","1 hour, 40 minutes","Rupert Goold",2015,"Jonah Hill, James Franco","Rent HD $5.99,Rent SD $4.99,Buy HD $14.99,Buy SD $14.99,"
3561,"Her and She and Him   ",,,,,
3562,"Walk in the Woods "," 105 minutes ","Ken Kwapis",12/29/15,"Robert Redford",$12.96
3563,"Hundred-Foot Journey "," 122 minutes ","Lasse Hallström",12/02/14,"Helen Mirren",$11.99
3564,"Insidious: Chapter 3 (Blu-ray + Ultraviolet) "," 97 minutes ","Leigh Whannell",10/06/15,"Stefanie Scott",$19.90
3565,"Texas Chain Saw Massacre: 40th Anniversary Black Maria [Blu-ray] "," 83 minutes ","Tobe Hooper",10/14/14,"William Vail",$39.99
3566,"Wild    ","1 hour, 56 minutes","Jean-Marc Vallée",2014,"Reese Witherspoon, Laura Dern","Buy HD $12.99,Buy SD $14.99,"
3567,"Beside Still Waters    ","1 hour, 18 minutes","Chris Lowell",2014,"Beck Bennett, Will Brill","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $7.99,"
3568,"Married People Single Sex 1   ",,,,,
3569,"The Way We Were    ","1 hour, 59 minutes","Sydney Pollack",1973,"Barbra Streisand, Robert Redford","Rent HD $3.99,Rent SD $2.99,Buy HD $7.88,Buy SD $5.00,"
3570,"Arnhem 1944    ",,,2013,,"Buy SD $9.99,"
3571,"A New York Love Story    ","1 hour, 16 minutes","Apolla Echino",2015,"Richard Short, Apolla Echino","Rent SD $2.99,Buy HD $10.99,Buy SD $9.99,"
3572,"Captain Phillips    ","2 hours, 15 minutes","Paul Greengrass",2013,"Tom Hanks, Catherine Keener","Rent HD $3.99,Rent SD $2.99,Buy HD $13.99,Buy SD $9.99,"
3573,"The Cokeville Miracle "," 94 minutes ","T.C. Christensen",09/08/15,"Jasen Wade",$14.99
3574,"Schoolgirl Hitchikers   ",,,,,"Rent SD $1.99,Buy HD $14.99,Buy SD $9.99,"
3575,"The Sound of Music    ","3 hours, 45 minutes","Robert Wise",1965,"Julie Andrews, Christopher Plummer","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $13.99,"
3576,"Amelie (English Subtitled)    ","2 hours, 2 minutes","Jean-Pierre Jeunet",2001,"Audrey Tautou, Mathieu Kassovitz","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $10.99,"
3577,"Sling Blade    ","2 hours, 14 minutes","Billy Bob Thornton",1996,"Billy Bob Thornton, Dwight Yoakam","Rent HD $3.99,Rent SD $2.99,Buy HD $14.99,Buy SD $13.99,"
3578,"God's Not Dead "," 114 minutes ",,08/05/14,"Kevin Sorbo",$11.39
3579,"American Psycho    ","1 hour, 43 minutes","Mary Harron",2000,"Christian Bale, Justin Theroux","Rent HD $3.99,Rent SD $2.99,Buy HD $6.99,Buy SD $6.99,"
3580,"The Cider House Rules    ","2 hours, 6 minutes","Lasse Hallström",2000,"Tobey Maguire, Charlize Theron","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $9.99,"
3581,"Jerry Maguire    ","2 hours, 19 minutes","Cameron Crowe",1996,"Tom Cruise, Cuba Gooding Jr.","Buy HD $12.99,Buy SD $9.99,"
3582,"The Lickerish Quartet   ",,,,,
3583,"The Water Diviner    ","1 hour, 52 minutes","Russell Crowe",2015,"Russell Crowe, Olga Kurylenko","Rent HD $4.99,Rent SD $3.99,Buy HD $12.99,Buy SD $9.99,"
3584,"Fireproof "," 118 minutes ","Alex Kendrick",01/27/09,"Kirk Cameron",$4.99
3585,"Man in the Moon    ","1 hour, 40 minutes","Robert Mulligan",1991,"Sam Waterston, Tess Harper","Rent HD $3.99,Rent SD $2.99,Buy HD $13.99,Buy SD $9.99,"
3586,"Lies (English Subtitled)   ","53 minutes","Jonathon Reid",2000,"Sang Hyun Lee,Tae Yeon Kim","Buy SD $9.99,"
3587,"The Shining "," 142 minutes ","Stanley Kubrick",02/02/10,"Jack Nicholson",$3.99
3588,"Shall We Dance?    ","1 hour, 47 minutes","Peter Chelsom",2004,"Richard Gere, Jennifer Lopez","Rent HD $3.99,Rent SD $2.99,Buy HD $11.99,Buy SD $9.99,"
3589,"Fury    ","2 hours, 15 minutes","David Ayer",2014,"Brad Pitt, Shia LaBeouf","Buy HD $17.99,Buy SD $13.99,"
3590,"The Worst Year of My Life    ","1 hour, 22 minutes","Jonathan Smith",2015,"Trevor St. John David, Amy Vorpahl","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
3591,"In The Bedroom    ","2 hours, 12 minutes","Todd Field",2002,"Tom Wilkinson, Sissy Spacek","Rent HD $3.99,Rent SD $2.99,Buy HD $14.99,Buy SD $12.99,"
3592,"Primal Fear    ","2 hours, 11 minutes","Gregory Hoblit",1996,"Richard Gere, Laura Linney","Rent HD $3.99,Rent SD $2.99,Buy HD $13.99,Buy SD $9.99,"
3593,"The Twilight Saga: Breaking Dawn Part 2    ","1 hour, 56 minutes","Bill Condon",2013,"Kristen Stewart, Robert Pattinson","Buy HD $14.99,Buy SD $13.99,"
3594,"Uncommon Valor    ","1 hour, 45 minutes","Ted Kotcheff",1983,"Gene Hackman, Robert Stack","Rent HD $3.99,Rent SD $2.99,Buy HD $13.99,Buy SD $9.99,"
3595,"To Kill a Mockingbird 50th Anniversary Edition "," 130 minutes ","Robert Mulligan",01/31/12,"Gregory Peck",$7.50
3596,"True Detective "," 480 minutes ","Various",06/10/14,"Various",$24.99
3597,"Whiplash    ","1 hour, 47 minutes","Damien Chazelle",2014,"Miles Teller, J.K. Simmons","Buy HD $14.99,Buy SD $12.99,"
3598,"Chloe Likes Olivia (English Subtitled)    ","20 minutes","Mette Kjærgaard",2011,"Mathilde Norholt, Rikke Lylloff","Rent SD $0.99,Buy HD $3.99,Buy SD $2.99,"
3599,"The Mummy (1999)    ","2 hours, 6 minutes","Stephen Sommers",1999,"Brendan Fraser, Rachel Weisz","Rent HD $3.99,Rent SD $2.99,Buy HD $7.99,Buy SD $7.99,"
3600,"Anna Nicole   ",,,,,"Buy HD $12.99,Buy SD $9.99,"
3601,"Sweet Home Alabama    ","1 hour, 49 minutes","Andy Tennant",2002,"Reese Witherspoon, Josh Lucas","Rent HD $3.99,Rent SD $2.99,Buy HD $17.99,Buy SD $9.99,"
3602,"71    ","1 hour, 40 minutes","Yann Demange",2015,"Jack O'Connell, Jack Lowden","Rent HD $5.99,Rent SD $4.99,Buy HD $14.99,Buy SD $12.99,"
3603,"Lincoln    ","2 hours, 30 minutes","Steven Spielberg",2012,"Daniel Day-Lewis, Sally Field","Rent HD $3.99,Rent SD $2.99,Buy HD $19.99,Buy SD $14.99,"
3604,"Third Star    ","1 hour, 33 minutes","Hattie Dalton",2012,"Tom Burke, Benedict Cumberbatch","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $4.99,"
3605,"Breaking the Taboo: The Truth About the War on Drugs    ","52 minutes","Cosmo Feilding Mellen",2015,"Morgan Freeman","Rent SD $1.49,Buy HD $3.99,Buy SD $2.99,"
3606,"Friends With Benefits    ","1 hour, 50 minutes","Will Gluck",2011,"Justin Timberlake, Mila Kunis","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
3607,"Into the Wild    ","2 hours, 29 minutes","Sean Penn",2007,"Emile Hirsch, Marcia Gay Harden","Rent HD $3.99,Rent SD $2.99,Buy HD $13.99,Buy SD $9.99,"
3608,"Scourge    ","1 hour, 30 minutes","Jonas Quastel",2008,"Russell Ferrier, Robyn Ledoux","Rent HD $3.99,Rent SD $2.99,Buy HD $8.99,Buy SD $6.99,"
3609,"Les Miserables (2012)    ","2 hours, 39 minutes","Tom Hooper",2012,"Hugh Jackman, Russell Crowe","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
3610,"Sugar    ","1 hour, 34 minutes","Rotimi Rainwater",2013,"Shenae Grimes-Beech, Marshall Allman","Rent HD $3.99,Rent SD $2.99,Buy HD $7.99,Buy SD $5.99,"
3611,"Jaws "," 124 minutes ","Steven Spielberg",08/14/12,"Roy Scheider",$6.94
3612,"Secret Fighters of the Luftwaffe    ",,,1999,,"Buy SD $9.99,"
3613,"Searching for the Elephant (English Subtitled)  ",,,,,"Buy SD $7.99,"
3614,"The Best of Me    ","1 hour, 58 minutes","Michael Hoffman",2014,"Michelle Monaghan, James Marsden","Rent HD $4.99,Rent SD $3.99,Buy HD $14.99,Buy SD $14.99,"
3615,"The Apu Trilogy [Blu-ray] "," 341 minutes ","Satyajit Ray",11/17/15,"Soumitra Chatterjee",$58.99
3616,"The Isle (English Subtitled)  ",,,,,"Buy SD $9.99,"
3617,"The Phantom of the Opera (Widescreen Edition) "," 141 minutes ","Joel Schumacher",08/29/06,"Gerard Butler",$5.00
3618,"The Good Student    ","1 hour, 21 minutes","David Ostry",2006,"Tim Daly, Hayden Panettiere","Rent SD $2.00,Buy HD $14.99,Buy SD $4.99,"
3619,"The Christmas Ornament "," 90 minutes ",,10/14/14,"Cameron Mathison",$9.99
3620,"The Room "," 99 minutes ","Tommy Wiseau",12/17/05,"Tommy Wiseau",$8.99
3621,"How to Be a Serial Killer    ","1 hour, 32 minutes","Luke Ricci",2009,"Dameon Clarke, Matthew Gray Gubler","Rent SD $2.99,Buy HD $14.99,Buy SD $7.99,"
3622,"Midnight Clear    ","1 hour, 43 minutes","Dallas Jenkins",2007,"Stephen Baldwin, K Callan","Rent HD $3.99,Rent SD $2.99,Buy HD $7.99,Buy SD $5.99,"
3623,"Argo    ","2 hours, 1 minute","Ben Affleck",2012,"Ben Affleck, Bryan Cranston","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $6.99,"
3624,"The Initiation of Sarah    ","1 hour, 31 minutes","Stuart Gillard",2006,"Mika Boorem, Summer Glau","Rent SD $2.99,Buy SD $9.99,"
3625,"Capturing Mary    ","1 hour, 45 minutes","Stephen Poliakoff",2009,"Maggie Smith, Ruth Wilson","Buy HD $9.99,Buy SD $7.99,"
3626,"Red Cliff (English Subtitled)    ","2 hours, 28 minutes","John Woo",2008,"Tony Chiu Wai Leung, Takeshi Kaneshiro","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
3627,"The Town (2010)    ","2 hours, 5 minutes","Ben Affleck",2010,"Ben Affleck, Rebecca Hall","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
3628,"Next Door (English Subtitled)   ","22 minutes","Matthew Bradley",2010,"Matthew Bradley, Paul Guilfoyle","Rent SD $0.99,Buy HD $3.99,Buy SD $2.99,"
3629,"Hypnotized    ","1 hour, 42 minutes","In-shik Kim",2001,"Hye-su Kim, Tae-woo Kim",
3630,"Life As We Know It (2010)    ","1 hour, 55 minutes","Greg Berlanti",2010,"Katherine Heigl, Josh Duhamel","Rent HD $3.99,Rent SD $2.99,Buy HD $17.99,Buy SD $9.99,"
3631,"Moneyball    ","2 hours, 14 minutes","Bennett Miller",2011,"Brad Pitt, Jonah Hill","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
3632,"Catch Me If You Can    ","2 hours, 21 minutes","Steven Spielberg",2002,"Leonardo DiCaprio, Tom Hanks","Rent HD $3.99,Rent SD $2.99,Buy HD $14.99,Buy SD $9.99,"
3633,"Gilda [Blu-ray] "," 110 minutes ","Charles Vidor",01/19/16,"Rita Hayworth",$35.96
3634,"The Birds "," 120 minutes ","Alfred Hitchcock",08/28/12,"Tippi Hedren",$8.41
3635,"The Godfather Part II    ","3 hours, 23 minutes","Francis Ford Coppola",1974,"Al Pacino, Robert Duvall","Rent HD $3.99,Rent SD $2.99,Buy HD $14.99,Buy SD $9.99,"
3636,"River's End   ",,,,,"Buy SD $14.99,"
3637,"Sophie's Choice    ","2 hours, 32 minutes","Alan J. Pakula",1982,"Meryl Streep, Kevin Kline","Rent SD $2.99,Buy SD $7.99,"
3638,"The Shawshank Redemption [Blu-ray] "," 142 minutes ","Frank Darabont",11/16/10,"Tim Robbins",$6.99
3639,"The Last Hit    ","1 hour, 30 minutes","Michael Glier",2015,"Louis Pappas, Maya Juchtman","Rent HD $3.99,Rent SD $2.99,Buy HD $10.99,Buy SD $9.99,"
3640,"Caterpillar   ",,,,,
3641,"The Oxford Murders    ","1 hour, 49 minutes","Álex de la Iglesia",2010,"Elijah Wood, John Hurt","Rent SD $2.99,Buy HD $4.99,Buy SD $4.99,"
3642,"The Way "," 121 minutes ","Emilio Estevez",02/21/12,"Emilio Estevez",$6.40
3643,"Jaws    ","2 hours, 5 minutes","Steven Spielberg",1975,"Roy Scheider, Robert Shaw","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
3644,"I Spit On Your Grave III: Vengeance Is Mine    ","1 hour, 32 minutes","R.D. Braunstein",2015,"Sarah Butler,Michelle Hurd","Rent HD $4.99,Rent SD $3.99,Buy HD $9.99,Buy SD $12.99,"
3645,"The New Year    ","1 hour, 37 minutes","Brett Haley",2012,"Trieste Kelly Dunn, Ryan Hunter","Buy SD $9.99,"
3646,"Dean Teaster's Ghost Town    ","1 hour, 56 minutes","Jeff Kennedy",2008,"Herbert 'Cowboy' Coward, Bill McKinney","Buy SD $4.99,"
3647,"Flesh and Bone    ","2 hours, 7 minutes","Steve Kloves",1993,"Julia McNeal, Ron Kuhlman","Rent HD $3.99,Rent SD $2.99,Buy HD $14.99,Buy SD $9.99,"
3648,"Love Flower, The   ",,,,,
3649,"Life Before Her Eyes   ",,,,,"Buy SD $9.99,"
3650,"What Katy Did    ","1 hour, 29 minutes","Stacey Stewart Curtis",2013,"Alison Pill, Megan Follows",
3651,"Elysium (UltraViolet Digital Copy) [Blu-ray] "," 110 minutes ","Neill Blomkamp",12/17/13,"Matt Damon",$7.00
3652,"Fray   ",,,,,"Rent HD $3.99,Rent SD $2.99,Buy HD $10.99,Buy SD $9.99,"
3653,"Interstellar (Blu-ray) ",,"Christopher Nolan",10/13/15,"Matthew McConaughey",$11.99
3654,"7 Deadly Words   ",,,,,"Buy HD $10.99,Buy SD $9.99,"
3655,"Right to Believe    ","1 hour, 52 minutes","Chip Rossetti",2014,"Christopher Hunt, Timothy Paul Taylor","Buy HD $10.99,Buy SD $9.99,"
3656,"You Will Be Mine (English Subtitled)   ","1 hour, 36 minutes","Sophie Laloy",2009,"Judith Davis, Marc Chapiteau","Buy SD $9.99,"
3657,"Betrayal (aka Lady Jayne: Killer)    ","1 hour, 36 minutes","Mark L. Lester",2003,"Erika Eleniak, Adam Baldwin","Buy SD $9.99,"
3658,"Schindler's List    ","3 hours, 15 minutes","Steven Spielberg",1993,"Liam Neeson, Ben Kingsley","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
3659,"The Exorcist: Director's Cut (Extended Edition) "," 132 minutes ","William Friedkin",10/05/10,"Ellen Burstyn",$3.99
3660,"Live Die Repeat: Edge of Tomorrow (DVD) "," 113 minutes ","Doug Liman",10/07/14,"Tom Cruise",$8.06
3661,"New Life, A   ",,,,,
3662,"Evelyn (English Subtitled)   ","1 hour, 35 minutes","Isabel de Ocampo",2012,"Cindy Díaz, Sara Bibang","Buy SD $9.99,"
3663,"(500) Days Of Summer    ","1 hour, 36 minutes","Marc Webb",2009,"Joseph Gordon-Levitt, Zooey Deschanel","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $13.99,"
3664,"The Craft    ","1 hour, 41 minutes","Andrew Fleming",1996,"Robin Tunney, Fairuza Balk","Buy HD $12.99,Buy SD $7.99,"
3665,"Beyond the Boundary: Complete Collection [Blu-ray] "," 300 minutes ","Taichi Ishidate",10/13/15,"Kenn",$59.83
3666,"Dakota Incident   ",,,,,
3667,"Crazy Murder    ","1 hour, 38 minutes","Doug Gerber",2015,"Kevin Kenny,Mark Hunt","Rent HD $3.99,Rent SD $3.99,Buy HD $10.99,Buy SD $7.99,"
3668,"Seven (1995)   ","2 hours, 7 minutes","David Fincher",1995,"Morgan Freeman, Andrew Kevin Walker","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
3669,"One Last Dance    ","1 hour, 41 minutes","Lisa Niemi",2003,"Patrick Swayze, Lisa Niemi","Rent SD $2.99,Buy HD $10.99,Buy SD $4.99,"
3670,"The Great Gatsby (Two-Disc Special Edition DVD) "," 142 minutes ","Baz Luhrmann",08/27/13,"Leonardo DiCaprio",$6.85
3671,"Bury My Heart at Wounded Knee    ","2 hours, 13 minutes","Yves Simoneau",2007,"Anna Paquin, Chevez Ezaneh","Buy HD $11.99,Buy SD $9.99,"
3672,"The Twilight Saga: Breaking Dawn - Part 2 [DVD + Digital Copy + UltraViolet] "," 115 minutes ","Bill Condon",03/02/13,"Kristen Stewart",$7.50
3673,"Senior Project    ","1 hour, 24 minutes","Nadine Truong",2015,"Ryan Potter, Vanessa Marano","Rent HD $4.99,Rent SD $3.99,Buy HD $12.99,Buy SD $9.99,"
3674,"Rear Window "," 115 minutes ","Alfred Hitchcock",09/04/12,"James Stewart",$7.50
3675,"Gung Ho    ","1 hour, 27 minutes","Ray Enright",1943,"Randolph Scott, Alan Curtis","Buy SD $4.99,"
3676,"The Hunting Ground    ","1 hour, 44 minutes","Kirby Dick",2015,"Kirby Dick,Amy Ziering","Rent HD $4.99,Rent SD $3.99,Buy HD $12.99,Buy SD $9.99,"
3677,"All Dolled Up: Love Dolls and Those Who Love Them   ",,,,,"Buy SD $12.99,"
3678,"Vegeterian   ","1 hour, 42 minutes","Woo-Seong Lim",1999,"Min-seo Chae, Hyun-sung Kim",
3679,"The Cat and the Canary    ","1 hour, 20 minutes","Paul Leni",1927,"Laura La Plante, Creighton Hale","Buy SD $7.99,"
3680,"Life Fine Tuned   ",,,,,"Rent HD $3.99,Rent SD $2.99,Buy HD $10.99,Buy SD $9.99,"
3681,"Pink Floyd: The Wall (25th Anniversary Deluxe Edition) "," 95 minutes ","Alan Parker",01/25/05,"Bob Geldof",$15.29
3682,"Random Encounters    ","1 hour, 35 minutes","Boris Undorf",2013,"Sean Young, Meghan Markle","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $7.99,"
3683,"The Relief of Belsen   ",,,,,
3684,"4 Nights In The Hamptons    ","1 hour, 24 minutes","Michael Knowles",2015,"Michael Knowles, Jilon VanOver","Rent HD $4.99,Rent SD $3.99,Buy HD $12.99,Buy SD $9.99,"
3685,"Misery   ",,,,,"Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
3686,"Old Fashioned ",,,06/16/15,"Rik Swartzwelder",$11.99
3687,"Temple Grandin "," 109 minutes ","Mick Jackson",08/17/10,"Claire Danes",$9.14
3688,"Citizenfour    ","1 hour, 54 minutes","Laura Poitras",2014,"Edward Snowden, Glenn Greenwald","Buy HD $19.99,Buy SD $14.99,"
3689,"People Places Things    ","1 hour, 27 minutes","Jim Strouse",2015,"Jemaine Clement,Regina Hall","Rent HD $4.99,Rent SD $3.99,Buy HD $12.99,Buy SD $12.99,"
3690,"Saving Mr. Banks "," 125 minutes ","John Lee Hancock",03/18/14,"Emma Thompson",$13.99
3691,"Forbidden Hollywood Volume 9 "," 358 minutes ",,10/27/15,,$36.89
3692,"Angels One Five   ",,,,,
3693,"The Return (English Subtitled)   ",,,,,"Buy SD $9.99,"
3694,"The Social Network    ","2 hours, 1 minute","David Fincher",2010,"Jesse Eisenberg, Rooney Mara","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
3695,"The Mighty    ","1 hour, 41 minutes","Peter Chelsom",1998,"Harry Dean Stanton, Gena Rowlands","Rent HD $3.99,Rent SD $2.99,Buy HD $7.99,Buy SD $5.99,"
3696,"Selma "," 128 minutes ",,05/05/15,"David Oyelowo",$8.63
3697,"One Thing She Doesn't Have (English Subtitled)   ","1 hour, 36 minutes","Yoo Jung-hwan",2014,"Cha Ye-ryun,Jo Hyun-jae","Rent SD $2.99,Buy HD $10.99,Buy SD $9.99,"
3698,"Silver Shoes "," 73 minutes ","Jennifer Lyon Bell",02/05/15,"Liandra Dahl",$22.46
3699,"Wetherby   ",,,,,
3700,"And the Band Played On    ","2 hours, 21 minutes","Roger Spottiswoode",1993,"Matthew Modine, Alan Alda","Buy HD $11.99,Buy SD $9.99,"
3701,"Zero Dark Thirty    ","2 hours, 37 minutes","Kathryn Bigelow",2012,"Jason Clarke, Reda Kateb","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
3702,"Wild [Blu-ray] "," 120 minutes ",,03/31/15,"Michiel Huisman",$12.80
3703,"The Good Witch's Garden    ","1 hour, 27 minutes","Craig Pryce",2009,"Catherine Bell, Chris Potter","Buy HD $4.99,Buy SD $3.99,"
3704,"The Changeling "," 107 minutes ",,09/06/05,"George C. Scott",$5.34
3705,"Hard Times    ","1 hour, 34 minutes","Walter Hill",1975,"Charles Bronson, James Coburn","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
3706,"Villa Des Roses    ","1 hour, 55 minutes","Frank Van Passel",2002,"Julie Delpy, Shaun Dingwall","Buy SD $9.99,"
3707,"Mama    ","1 hour, 41 minutes","Andrés Muschietti",2013,"Jessica Chastain, Nikolaj Coster-Waldau","Rent HD $3.99,Rent SD $2.99,Buy HD $6.99,Buy SD $7.99,"
3708,"Burlesque "," 119 minutes ","Steve Antin",03/01/11,"Cher",$4.99
3709,"Under the Skin [Blu-ray] "," 108 minutes ","Jonathan Glazer",07/15/14,"Scarlett Johansson",$9.99
3710,"The Girl With The Dragon Tattoo    ","2 hours, 39 minutes","David Fincher",2011,"Daniel Craig, Rooney Mara","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $9.99,"
3711,"Wolf Children (Blu-ray/DVD Combo) "," 117 minutes ","Mike McFarland",11/26/13,"Colleen Clinkenbeard",$17.99
3712,"Main Street    ","1 hour, 35 minutes","John Doyle",2011,"Colin Firth, Ellen Burstyn","Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
3713,"Good Kill    ","1 hour, 43 minutes","Andrew Niccol",2015,"Fatima El Bahraquy, El Khttabi Abdelouahab","Rent HD $4.99,Rent SD $3.99,Buy HD $14.99,Buy SD $12.99,"
3714,"Minority Report    ","2 hours, 26 minutes","Steven Spielberg",2002,"Tom Cruise, Max von Sydow","Rent HD $3.99,Rent SD $2.99,Buy HD $14.99,Buy SD $9.99,"
3715,"Veronica Mars    ","1 hour, 48 minutes","Rob Thomas",2014,"Kristen Bell, Jason Dohring","Rent HD $3.99,Rent SD $2.99,Buy HD $17.99,Buy SD $9.99,"
3716,"On The Shore (English Subtitled)   ","1 hour, 33 minutes","Julien Donada",2012,"Daniel Duval, Chiara Caselli","Buy SD $6.99,"
3717,"A Big Love Story    ","1 hour, 32 minutes","Ryan Sage",2013,"Robbie Kaller, Jillian Leigh","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $7.99,"
3718,"People Will Talk    ","1 hour, 51 minutes","Joseph L. Mankiewicz",1951,"Cary Grant, Jeanne Crain","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $9.99,"
3719,"Lord of the Rings: The Return of the King (Extended Edition)    ","4 hours, 24 minutes","Peter Jackson",2004,"Noel Appleby, Ali Astin","Buy HD $17.99,Buy SD $9.99,"
3720,"Lone Survivor "," 122 minutes ","Peter Berg",06/03/14,"Mark Wahlberg",$9.50
3721,"The Blind Side    ","2 hours, 9 minutes","John Lee Hancock",2009,"Sandra Bullock, Tim McGraw","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $6.99,"
3722,"The Mark Of Zorro    ","1 hour, 33 minutes","Rouben Mamoulian",1940,"Tyrone Power, Linda Darnell",
3723,"Red Vacance Black Wedding (English Subtitled)   ","1 hour, 21 minutes","Tai-sik Kim",2011,"Seon-mok Jo, Ji-hye Ahn","Buy SD $9.99,"
3724,"When the Game Stands Tall "," 115 minutes ","Thomas Carter",12/09/14,"Clancy Brown",$14.99
3725,"2 to Tangle    ","1 hour, 46 minutes","Caleb Johnson",2014,"Kassy Collins, Clay Doss","Rent HD $5.99,Rent SD $4.99,Buy HD $11.99,Buy SD $10.99,"
3726,"College Boys Live    ","1 hour, 34 minutes","George O'Donnell",2009,"Zac Adams,Jonathan Greer","Buy SD $9.99,"
3727,"Oh Christmas Tree! "," 89 minutes ","Craig Pryce",11/18/14,"Sarah Lancaster",$9.99
3728,"Hombre    ","1 hour, 51 minutes","Martin Ritt",1967,"Paul Newman, Fredric March","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $9.99,"
3729,"The Babysitter   ",,,,,"Rent HD $3.99,Rent SD $2.99,Buy HD $19.99,Buy SD $9.99,"
3730,"La Repetition (English Subtitled)   ","1 hour, 32 minutes","Catherine Corsini",2001,"Emmanuelle Béart, Pascale Bussières","Buy SD $9.99,"
3731,"A League of Their Own "," 128 minutes ","Penny Marshall",09/03/97,"David Strathairn",$5.99
3732,"I'll See You in My Dreams (DVD) "," 97 minutes ","Brett Haley",09/01/15,,$19.44
3733,"The Monuments Men "," 118 minutes ","George Clooney",05/20/14,"George Clooney",$7.50
3734,"New World Order    ","1 hour, 26 minutes","Duane McCoy",2013,"Erin Runbeck, Melissa Farley","Buy HD $10.99,Buy SD $9.99,"
3735,"The Dark Knight Rises [Blu-ray] "," 165 minutes ","Christopher Nolan",12/04/12,"Christian Bale",$9.99
3736,"The Notebook (2004) "," 124 minutes ","Nick Cassavetes",01/08/08,"James Garner",$5.00
3737,"A Beautiful Mind    ","2 hours, 16 minutes","Ron Howard",2001,"Russell Crowe, Ed Harris","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
